"name","type","description"
"feature_523","float","fBodyBodyAccJerkMag-iqr()"
"feature_524","float","fBodyBodyAccJerkMag-entropy()"
"feature_525","float","fBodyBodyAccJerkMag-maxInds"
"feature_526","float","fBodyBodyAccJerkMag-meanFreq()"
"feature_527","float","fBodyBodyAccJerkMag-skewness()"
"feature_528","float","fBodyBodyAccJerkMag-kurtosis()"
"feature_529","float","fBodyBodyGyroMag-mean()"
"feature_530","float","fBodyBodyGyroMag-std()"
"feature_531","float","fBodyBodyGyroMag-mad()"
"feature_532","float","fBodyBodyGyroMag-max()"
"feature_533","float","fBodyBodyGyroMag-min()"
"feature_534","float","fBodyBodyGyroMag-sma()"
"feature_535","float","fBodyBodyGyroMag-energy()"
"feature_536","float","fBodyBodyGyroMag-iqr()"
"feature_537","float","fBodyBodyGyroMag-entropy()"
"feature_538","float","fBodyBodyGyroMag-maxInds"
"feature_539","float","fBodyBodyGyroMag-meanFreq()"
"feature_540","float","fBodyBodyGyroMag-skewness()"
"feature_541","float","fBodyBodyGyroMag-kurtosis()"
"feature_542","float","fBodyBodyGyroJerkMag-mean()"
"feature_543","float","fBodyBodyGyroJerkMag-std()"
"feature_544","float","fBodyBodyGyroJerkMag-mad()"
"feature_545","float","fBodyBodyGyroJerkMag-max()"
"feature_546","float","fBodyBodyGyroJerkMag-min()"
"feature_547","float","fBodyBodyGyroJerkMag-sma()"
"feature_548","float","fBodyBodyGyroJerkMag-energy()"
"feature_549","float","fBodyBodyGyroJerkMag-iqr()"
"feature_550","float","fBodyBodyGyroJerkMag-entropy()"
"feature_551","float","fBodyBodyGyroJerkMag-maxInds"
"feature_552","float","fBodyBodyGyroJerkMag-meanFreq()"
"feature_553","float","fBodyBodyGyroJerkMag-skewness()"
"feature_554","float","fBodyBodyGyroJerkMag-kurtosis()"
"feature_555","float","angle(tBodyAccMean,gravity)"
"feature_556","float","angle(tBodyAccJerkMean),gravityMean)"
"feature_557","float","angle(tBodyGyroMean,gravityMean)"
"feature_558","float","angle(tBodyGyroJerkMean,gravityMean)"
"feature_559","float","angle(X,gravityMean)"
"feature_560","float","angle(Y,gravityMean)"
"feature_561","float","angle(Z,gravityMean)"
"activity","integer","predictor class: values between 1-6"
